activity,id,rectime,total_adult_utt,total_child_utt,total_adult_resp,total_adult_imitexp,prop_adultresp_outof_childutt,prop_adult_imitexp_outof_childutt,language,segment_num
conv,7446,31815,89,58,75,11,1.293103448275862,0.1896551724137931,spanish,4
ods,7446,31815,0,2,0,0,0,0,spanish,4
ac,7446,5668,5,4,4,1,1,0.25,spanish,6
conv,7446,5668,14,12,14,2,1.1666666666666667,0.16666666666666666,spanish,6
food,7446,5668,48,25,38,5,1.52,0.2,spanish,6
ods,7446,5668,46,11,20,1,1.8181818181818181,0.09090909090909091,spanish,6
play,7446,5668,16,4,7,1,1.75,0.25,spanish,6
food,7446,56663,26,36,24,4,0.6666666666666666,0.1111111111111111,spanish,9
ods,7446,56663,9,11,6,0,0.5454545454545454,0,spanish,9
routines,7446,56663,23,13,15,0,1.1538461538461537,0,spanish,9
ac,7448,6293,26,10,21,1,2.1,0.1,spanish,10
ods,7448,6293,20,8,5,2,0.625,0.25,spanish,10
ac,7448,2393,21,35,17,3,0.4857142857142857,0.08571428571428572,spanish,13
conv,7448,2393,10,10,7,1,0.7,0.1,spanish,13
ods,7448,2393,9,22,3,1,0.13636363636363635,0.045454545454545456,spanish,13
ac,7448,7434,22,10,18,8,1.8,0.8,spanish,5
books,7448,7434,25,8,21,8,2.625,1,spanish,5
ods,7448,7434,15,20,11,0,0.55,0,spanish,5
ac,7448,13419,40,11,25,5,2.272727272727273,0.45454545454545453,spanish,6
ods,7448,13419,59,15,17,2,1.1333333333333333,0.13333333333333333,spanish,6
ac,7448,17341,8,2,4,0,2,0,spanish,7
conv,7448,17341,55,11,29,5,2.6363636363636362,0.45454545454545453,spanish,7
ods,7448,17341,1,3,0,0,0,0,spanish,7
ac,7448,19772,24,17,17,1,1,0.058823529411764705,spanish,9
conv,7448,19772,15,10,8,0,0.8,0,spanish,9
ods,7448,19772,0,13,0,0,0,0,spanish,9
books,7473,34976,176,41,82,11,2,0.2682926829268293,spanish,1
ods,7473,34976,0,2,0,0,0,0,spanish,1
conv,7473,0,48,5,12,7,2.4,1.4,spanish,11
ods,7473,0,18,3,6,1,2,0.3333333333333333,spanish,11
routines,7473,0,60,4,9,2,2.25,0.5,spanish,11
ods,7473,43787,0,1,0,0,0,0,spanish,2
play,7473,43787,164,14,37,6,2.642857142857143,0.42857142857142855,spanish,2
ac,7473,35576,18,0,0,0,NaN,NaN,spanish,5
books,7473,35576,95,36,61,7,1.6944444444444444,0.19444444444444445,spanish,5
conv,7473,35576,18,4,8,2,2,0.5,spanish,5
ods,7473,35576,0,1,0,0,0,0,spanish,5
food,7473,1034,155,29,78,12,2.689655172413793,0.41379310344827586,spanish,6
ac,7473,16376,1,0,0,0,NaN,NaN,spanish,7
food,7473,16376,118,14,32,8,2.2857142857142856,0.5714285714285714,spanish,7
ods,7473,16376,26,2,4,0,2,0,spanish,7
ac,7480,20708,3,1,1,1,1,1,spanish,1
books,7480,20708,158,76,136,18,1.7894736842105263,0.23684210526315788,spanish,1
ods,7480,20708,30,2,1,0,0.5,0,spanish,1
ac,7480,8,49,57,47,11,0.8245614035087719,0.19298245614035087,spanish,10
ods,7480,8,24,15,22,4,1.4666666666666666,0.26666666666666666,spanish,10
routines,7480,8,44,31,36,6,1.1612903225806452,0.1935483870967742,spanish,10
ac,7480,4208,115,97,105,25,1.0824742268041236,0.25773195876288657,spanish,12
ods,7480,4208,11,1,0,0,0,0,spanish,12
ac,7480,21908,2,0,0,0,NaN,NaN,spanish,13
conv,7480,21908,22,4,10,0,2.5,0,spanish,13
food,7480,21908,24,18,18,7,1,0.3888888888888889,spanish,13
ods,7480,21908,48,8,13,0,1.625,0,spanish,13
play,7480,21908,54,35,44,13,1.2571428571428571,0.37142857142857144,spanish,13
ac,7480,35268,29,18,25,6,1.3888888888888888,0.3333333333333333,spanish,5
ods,7480,35268,6,2,5,1,2.5,0.5,spanish,5
play,7480,35268,216,102,160,34,1.5686274509803921,0.3333333333333333,spanish,5
ac,7480,8708,35,47,27,6,0.574468085106383,0.1276595744680851,spanish,8
ods,7480,8708,1,8,1,0,0.125,0,spanish,8
play,7480,8708,75,22,45,6,2.0454545454545454,0.2727272727272727,spanish,8
ods,7499,54981,17,8,15,0,1.875,0,spanish,1
play,7499,54981,132,47,91,18,1.9361702127659575,0.3829787234042553,spanish,1
play,7499,156,151,55,97,11,1.7636363636363637,0.2,spanish,2
ac,7499,34881,3,0,0,0,NaN,NaN,spanish,3
ods,7499,34881,6,2,6,0,3,0,spanish,3
play,7499,34881,134,51,102,17,2,0.3333333333333333,spanish,3
routines,7499,34881,12,1,1,0,1,0,spanish,3
ac,7499,49581,41,20,28,2,1.4,0.1,spanish,4
conv,7499,49581,21,4,8,1,2,0.25,spanish,4
ods,7499,49581,79,6,5,0,0.8333333333333334,0,spanish,4
conv,7499,1656,119,66,98,22,1.4848484848484849,0.3333333333333333,spanish,5
ods,7499,1656,0,6,0,0,0,0,spanish,5
routines,7499,1656,17,4,14,3,3.5,0.75,spanish,5
food,7499,47781,113,43,86,11,2,0.2558139534883721,spanish,6
ods,7499,47781,0,1,0,0,0,0,spanish,6
ac,7508,1377,5,1,1,1,1,1,spanish,13
conv,7508,1377,2,0,0,0,NaN,NaN,spanish,13
ods,7508,1377,68,10,6,0,0.6,0,spanish,13
routines,7508,1377,40,3,6,1,2,0.3333333333333333,spanish,13
ac,7508,25918,37,22,28,6,1.2727272727272727,0.2727272727272727,spanish,15
conv,7508,25918,14,2,9,0,4.5,0,spanish,15
ods,7508,25918,54,13,15,0,1.1538461538461537,0,spanish,15
routines,7508,25918,9,0,0,0,NaN,NaN,spanish,15
ac,7508,2877,125,19,51,1,2.6842105263157894,0.05263157894736842,spanish,17
ods,7508,2877,27,1,3,0,3,0,spanish,17
ac,7508,17460,65,12,25,10,2.0833333333333335,0.8333333333333334,spanish,18
ods,7508,17460,30,2,4,0,2,0,spanish,18
ac,7508,55600,74,7,22,2,3.142857142857143,0.2857142857142857,spanish,19
ods,7508,55600,22,10,9,0,0.9,0,spanish,19
play,7508,55600,7,0,0,0,NaN,NaN,spanish,19
conv,7508,15360,10,2,3,0,1.5,0,spanish,20
ods,7508,15360,36,3,6,0,2,0,spanish,20
play,7508,15360,38,33,35,2,1.0606060606060606,0.06060606060606061,spanish,20
ac,7550,17808,14,3,10,1,3.3333333333333335,0.3333333333333333,spanish,1
books,7550,17808,25,11,22,3,2,0.2727272727272727,spanish,1
conv,7550,17808,41,9,18,4,2,0.4444444444444444,spanish,1
food,7550,17808,76,27,54,15,2,0.5555555555555556,spanish,1
food,7550,1908,98,60,91,19,1.5166666666666666,0.31666666666666665,spanish,2
ods,7550,1908,3,3,3,0,1,0,spanish,2
ac,7550,3408,11,3,3,2,1,0.6666666666666666,spanish,3
conv,7550,3408,9,4,5,0,1.25,0,spanish,3
ods,7550,3408,33,16,22,5,1.375,0.3125,spanish,3
