activity,id,rectime,total_adult_utt,total_child_utt,total_adult_resp,total_adult_imitexp,prop_adultresp_outof_childutt,prop_adult_imitexp_outof_childutt,language,segment_num
ac,8130,20405,4,0,0,0,NaN,NaN,spanish,3
conv,8130,20405,20,8,9,3,1.125,0.375,spanish,3
food,8130,20405,48,29,40,4,1.3793103448275863,0.13793103448275862,spanish,3
ods,8130,20405,0,3,0,0,0,0,spanish,3
ac,8130,18905,3,2,1,0,0.5,0,spanish,4
conv,8130,18905,32,18,25,5,1.3888888888888888,0.2777777777777778,spanish,4
ods,8130,18905,0,8,0,0,0,0,spanish,4
play,8130,18905,18,16,13,2,0.8125,0.125,spanish,4
ac,8130,3240,100,28,69,7,2.4642857142857144,0.25,spanish,5
ods,8130,3240,21,4,10,0,2.5,0,spanish,5
ac,8130,17405,95,17,29,3,1.7058823529411764,0.17647058823529413,spanish,6
conv,8130,17405,6,1,3,1,3,1,spanish,6
ods,8130,17405,4,2,3,0,1.5,0,spanish,6
routines,8130,17405,26,7,12,3,1.7142857142857142,0.42857142857142855,spanish,6
ac,8130,2340,44,4,15,2,3.75,0.5,spanish,7
books,8130,2340,50,13,28,7,2.1538461538461537,0.5384615384615384,spanish,7
ods,8130,2340,8,17,4,1,0.23529411764705882,0.058823529411764705,spanish,7
books,8144,37537,118,45,95,23,2.111111111111111,0.5111111111111111,spanish,1
play,8144,37537,36,19,34,12,1.7894736842105263,0.631578947368421,spanish,1
ac,8144,33037,70,48,64,16,1.3333333333333333,0.3333333333333333,spanish,10
ods,8144,33037,23,5,7,0,1.4,0,spanish,10
play,8144,33037,14,8,13,8,1.625,1,spanish,10
routines,8144,33037,66,33,57,22,1.7272727272727273,0.6666666666666666,spanish,10
books,8144,18232,171,36,104,13,2.888888888888889,0.3611111111111111,spanish,2
ods,8144,18232,1,0,0,0,NaN,NaN,spanish,2
conv,8144,36637,16,7,14,4,2,0.5714285714285714,spanish,3
ods,8144,36637,14,8,8,1,1,0.125,spanish,3
play,8144,36637,153,42,84,18,2,0.42857142857142855,spanish,3
conv,8144,21742,129,23,59,19,2.5652173913043477,0.8260869565217391,spanish,5
ods,8144,21742,56,0,0,0,NaN,NaN,spanish,5
conv,8144,38137,109,62,89,25,1.435483870967742,0.4032258064516129,spanish,8
ods,8144,38137,23,6,10,2,1.6666666666666667,0.3333333333333333,spanish,8
play,8144,38137,33,23,31,6,1.3478260869565217,0.2608695652173913,spanish,8
routines,8144,38137,14,4,9,3,2.25,0.75,spanish,8
ac,8216,12669,22,11,21,3,1.9090909090909092,0.2727272727272727,spanish,2
food,8216,12669,27,10,15,0,1.5,0,spanish,2
ods,8216,12669,7,3,4,0,1.3333333333333333,0,spanish,2
conv,8216,7168,106,52,78,10,1.5,0.19230769230769232,spanish,3
ods,8216,7168,0,3,0,0,0,0,spanish,3
conv,8216,7768,63,30,38,1,1.2666666666666666,0.03333333333333333,spanish,4
ods,8216,7768,0,1,0,0,0,0,spanish,4
ac,8216,19265,37,24,33,7,1.375,0.2916666666666667,spanish,5
conv,8216,19265,4,0,0,0,NaN,NaN,spanish,5
ods,8216,19265,0,12,0,0,0,0,spanish,5
ac,8216,11469,12,5,6,0,1.2,0,spanish,6
conv,8216,11469,7,3,5,0,1.6666666666666667,0,spanish,6
ods,8216,11469,1,10,0,0,0,0,spanish,6
play,8216,11469,47,25,45,2,1.8,0.08,spanish,6
ac,8216,4768,69,63,67,15,1.0634920634920635,0.23809523809523808,spanish,7
food,8216,4768,14,5,7,1,1.4,0.2,spanish,7
ods,8216,4768,0,15,0,0,0,0,spanish,7
routines,8216,4768,2,1,1,1,1,1,spanish,7
