"","id","rectime","activity","speaker","tokens","types","segment_num","language","speech","dur_min","tokens_permin","types_permin"
"160",20112,"3","play","CHI",80,36,5,"english","all",7.04923333333333,11.3487518737262,5.1069383431768
"161",20112,"3","play","ADULTS",428,109,5,"english","all",7.04923333333333,60.7158225244353,15.462674427952
"162",20113,"1506","play","CHI",63,27,13,"english","all",6.08221666666667,10.3580657271335,4.43917102591434
"163",20113,"1506","play","ADULTS",234,85,13,"english","all",6.08221666666667,38.4728155579243,13.9751680445452
"164",20113,"7881","play","CHI",45,20,6,"english","all",6.94385,6.48055473548536,2.8802465491046
"165",20113,"7881","play","ADULTS",268,77,6,"english","all",6.94385,38.5953037580017,11.0889492140527
"166",20117,"6529","play","CHI",2,2,12,"english","all",1.2549,1.59375249023827,1.59375249023827
"167",20117,"6529","play","ADULTS",25,17,12,"english","all",1.2549,19.9219061279783,13.5468961670253
"168",20117,"13729","play","CHI",31,13,27,"english","all",2.08261666666667,14.8851204814456,6.24214729867073
"169",20117,"13729","play","ADULTS",122,53,27,"english","all",2.08261666666667,58.5801515721407,25.4487543715038
"170",20121,"1212","play","CHI",18,8,1,"english","all",4.24378333333333,4.24149834856477,1.8851103771399
"171",20121,"1212","play","ADULTS",276,53,1,"english","all",4.24378333333333,65.0363080113264,12.4888562485518
"172",20121,"6612","play","CHI",8,3,3,"english","all",2.45891666666667,3.25346527942522,1.22004947978446
"173",20121,"6612","play","ADULTS",111,53,3,"english","all",2.45891666666667,45.1418307520249,21.5542074761921
"174",20121,"12","play","CHI",41,17,4,"english","all",5.50538333333333,7.44725617047557,3.08788670483133
"175",20121,"12","play","ADULTS",170,80,4,"english","all",5.50538333333333,30.8788670483133,14.5312315521475
"176",20121,"24820","play","CHI",5,5,7,"english","all",0.93215,5.36394357131363,5.36394357131363
"177",20121,"24820","play","ADULTS",62,38,7,"english","all",0.93215,66.512900284289,40.7659711419836
"178",20122,"17957","play","CHI",34,9,2,"english","all",4.72573333333333,7.19465056569704,1.90446632621392
"179",20122,"17957","play","ADULTS",460,92,2,"english","all",4.72573333333333,97.3393900064894,19.4678780012979
"180",20122,"27557","play","CHI",30,18,7,"english","all",2.58515,11.6047424714233,6.96284548285399
"181",20122,"27557","play","ADULTS",201,91,7,"english","all",2.58515,77.7517745585363,35.2010521633174
"182",20127,"1754","play","CHI",21,12,1,"english","all",5.35031666666667,3.92500132390917,2.24285789937667
"183",20127,"1754","play","ADULTS",405,104,1,"english","all",5.35031666666667,75.6964541039627,19.4381017945978
"184",20127,"1154","play","CHI",41,16,7,"english","all",4.47778333333333,9.15631618323055,3.57319655930948
"185",20127,"1154","play","ADULTS",302,105,7,"english","all",4.47778333333333,67.4440850569665,23.4491024204685
"186",20128,"935","play","CHI",70,29,2,"english","all",9.12028333333333,7.67520014911818,3.17972577606325
