id,activity,speaker,segment_num,words_sum,num_utt_sum,mlu_w,language,speech
20157,ods,CHI,20,1,1,1,english,all
20157,ac,ADULTS,27,337,94,3.5851063829787235,english,all
20157,ac,CHI,27,58,48,1.2083333333333333,english,all
20157,conv,ADULTS,27,37,13,2.8461538461538463,english,all
20157,conv,CHI,27,7,7,1,english,all
20157,ods,CHI,27,11,9,1.2222222222222223,english,all
20157,routines,ADULTS,27,32,12,2.6666666666666665,english,all
20157,routines,CHI,27,3,2,1.5,english,all
20157,ac,ADULTS,33,108,36,3,english,all
20157,ac,CHI,33,28,26,1.0769230769230769,english,all
20157,ods,ADULTS,33,36,8,4.5,english,all
20157,ods,CHI,33,8,6,1.3333333333333333,english,all
20157,routines,ADULTS,33,118,42,2.8095238095238093,english,all
20157,routines,CHI,33,23,20,1.15,english,all
20157,ac,ADULTS,37,40,15,2.6666666666666665,english,all
20157,ac,CHI,37,9,8,1.125,english,all
20157,ods,ADULTS,37,93,32,2.90625,english,all
20157,ods,CHI,37,4,2,2,english,all
20157,ac,ADULTS,38,99,39,2.5384615384615383,english,all
20157,ac,CHI,38,26,13,2,english,all
20157,ods,ADULTS,38,143,41,3.4878048780487805,english,all
20157,ods,CHI,38,11,11,1,english,all
20161,books,ADULTS,2,616,136,4.529411764705882,english,all
20161,books,CHI,2,27,14,1.9285714285714286,english,all
20161,conv,ADULTS,2,142,22,6.454545454545454,english,all
20161,conv,CHI,2,12,8,1.5,english,all
20161,conv,ADULTS,3,39,7,5.571428571428571,english,all
20161,food,ADULTS,3,303,77,3.935064935064935,english,all
20161,food,CHI,3,38,20,1.9,english,all
20161,ods,ADULTS,3,210,37,5.675675675675675,english,all
20161,ods,CHI,3,16,9,1.7777777777777777,english,all
20161,play,ADULTS,3,92,26,3.5384615384615383,english,all
20161,play,CHI,3,18,8,2.25,english,all
20161,conv,ADULTS,4,374,84,4.4523809523809526,english,all
20161,conv,CHI,4,31,19,1.631578947368421,english,all
20161,food,ADULTS,4,126,33,3.8181818181818183,english,all
20161,food,CHI,4,13,6,2.1666666666666665,english,all
20161,ods,CHI,4,6,2,3,english,all
20161,ac,ADULTS,5,26,4,6.5,english,all
20161,books,ADULTS,5,130,39,3.3333333333333335,english,all
20161,books,CHI,5,2,2,1,english,all
20161,conv,ADULTS,5,408,91,4.483516483516484,english,all
20161,conv,CHI,5,34,20,1.7,english,all
20161,ods,CHI,5,5,2,2.5,english,all
20161,ac,ADULTS,6,195,41,4.7560975609756095,english,all
20161,food,ADULTS,6,309,75,4.12,english,all
20161,food,CHI,6,31,18,1.7222222222222223,english,all
20161,ods,ADULTS,6,146,29,5.0344827586206895,english,all
20161,ods,CHI,6,6,5,1.2,english,all
20161,ac,ADULTS,7,211,43,4.906976744186046,english,all
20161,ac,CHI,7,12,6,2,english,all
20161,conv,ADULTS,7,69,16,4.3125,english,all
20161,ods,ADULTS,7,71,18,3.9444444444444446,english,all
20161,ods,CHI,7,22,11,2,english,all
20161,routines,ADULTS,7,67,18,3.7222222222222223,english,all
20161,routines,CHI,7,12,8,1.5,english,all
20166,ac,ADULTS,11,5,1,5,english,all
20166,ods,ADULTS,11,98,20,4.9,english,all
20166,ods,CHI,11,5,5,1,english,all
20166,routines,ADULTS,11,489,96,5.09375,english,all
20166,routines,CHI,11,131,54,2.425925925925926,english,all
20166,ac,ADULTS,13,45,10,4.5,english,all
