"","activity","id","rectime","segment_num","language","dur_min","Dur10minval","AWCval","Time","Date","dur_10min","tcds_min"
"93","routines","20050",5620,4,"english",1.35245,600,1153,9.35,"2010.11.16",10,8.65246666666667
"94","food","20050",46720,6,"english",0.15265,600,989,21,"2010.11.16",10,8.55611666666667
"95","routines","20050",46720,6,"english",8.40346666666667,600,989,21,"2010.11.16",10,8.55611666666667
"96","books","20050",37720,7,"english",6.84031666666667,600,889,18.3,"2010.11.16",10,9.4747
"97","food","20050",37720,7,"english",2.63438333333333,600,889,18.3,"2010.11.16",10,9.4747
"98","books","20056",29376,2,"english",8.89908333333333,600,1513,15.1,"2011.04.16",10,9.89558333333333
"99","conv","20056",29376,2,"english",0.9965,600,1513,15.1,"2011.04.16",10,9.89558333333333
"100","books","20056",33276,3,"english",9.9972,600,1500,16.15,"2011.04.16",10,9.9972
"101","books","20056",9276,4,"english",9.61833333333333,600,1496,9.35,"2011.04.16",10,9.975
"102","conv","20056",9276,4,"english",0.356666666666667,600,1496,9.35,"2011.04.16",10,9.975
"103","conv","20056",42773,5,"english",4.33431666666667,600,1465,7.55,"2011.04.17",10,4.33431666666667
"104","conv","20056",51473,7,"english",1.49838333333333,600,1355,10.2,"2011.04.17",10,5.08793333333333
"105","books","20056",51473,7,"english",3.58955,600,1355,10.2,"2011.04.17",10,5.08793333333333
"106","play","20056",47273,9,"english",3.50845,600,1170,9.1,"2011.04.17",10,6.9387
"107","ac","20056",47273,9,"english",3.03986666666667,600,1170,9.1,"2011.04.17",10,6.9387
"108","conv","20056",47273,9,"english",0.390383333333333,600,1170,9.1,"2011.04.17",10,6.9387
"109","ac","20071",8208,11,"english",4.78653333333333,600,476,10.35,"2011.04.18",10,8.66495
"110","conv","20071",8208,11,"english",0.299616666666667,600,476,10.35,"2011.04.18",10,8.66495
"111","books","20071",8208,11,"english",3.5788,600,476,10.35,"2011.04.18",10,8.66495
"112","conv","20071",28008,15,"english",1.53935,600,438,16.05,"2011.04.18",10,2.71685
"113","ac","20071",28008,15,"english",1.1775,600,438,16.05,"2011.04.18",10,2.71685
"114","books","20071",8808,1,"english",9.46231666666667,600,1335,10.45,"2011.04.18",10,9.46231666666667
"115","routines","20071",56937,2,"english",1.86625,600,819,8.4,"2011.04.20",10,2.39171666666667
"116","ac","20071",56937,2,"english",0.525466666666667,600,819,8.4,"2011.04.20",10,2.39171666666667
"117","play","20071",5808,9,"english",3.0676,600,518,9.55,"2011.04.18",10,3.0676
"118","routines","20071",108,13,"english",1.0525,600,472,8.2,"2011.04.18",10,6.98435
"119","ac","20071",108,13,"english",2.04936666666667,600,472,8.2,"2011.04.18",10,6.98435
"120","play","20071",108,13,"english",3.38558333333333,600,472,8.2,"2011.04.18",10,6.98435
"121","conv","20071",108,13,"english",0.4969,600,472,8.2,"2011.04.18",10,6.98435
"122","conv","20073",2019,1,"english",6.90581666666667,599,733,16.5,"2011.04.14",9.98333333333333,8.13941666666667
"123","ac","20073",2019,1,"english",0.103066666666667,599,733,16.5,"2011.04.14",9.98333333333333,8.13941666666667
"124","food","20073",2019,1,"english",1.13053333333333,599,733,16.5,"2011.04.14",9.98333333333333,8.13941666666667
"125","play","20073",6218,2,"english",1.56466666666667,600,582,18,"2011.04.14",10,6.87996666666667
