id,rectime,speaker,Speaker2,activity,segment_num,language,speech,n_speakers
20121,12,CHI,CHI,play,4,english,all,1
20121,12,MOT,ADULTS,play,4,english,all,1
20121,24820,CHI,CHI,play,7,english,all,1
20121,24820,MOT,ADULTS,play,7,english,all,1
20122,17957,CHI,CHI,play,2,english,all,1
20122,17957,MOT,ADULTS,play,2,english,all,1
20122,27557,CHI,CHI,play,7,english,all,1
20122,27557,MOT,ADULTS,play,7,english,all,2
20122,27557,ADM,ADULTS,play,7,english,all,2
20127,1754,CHI,CHI,play,1,english,all,1
20127,1754,ADF,ADULTS,play,1,english,all,1
20127,1154,CHI,CHI,play,7,english,all,1
20127,1154,ADF,ADULTS,play,7,english,all,1
20128,935,CHI,CHI,play,2,english,all,1
20128,935,MOT,ADULTS,play,2,english,all,1
20128,35,CHI,CHI,play,6,english,all,1
20128,35,MOT,ADULTS,play,6,english,all,1
20128,1835,CHI,CHI,play,7,english,all,1
20128,1835,MOT,ADULTS,play,7,english,all,1
20128,15335,CHI,CHI,play,8,english,all,1
20128,15335,MOT,ADULTS,play,8,english,all,1
20132,38853,CHI,CHI,play,7,english,all,1
20132,38853,MOT,ADULTS,play,7,english,all,2
20132,38853,ADM,ADULTS,play,7,english,all,2
20132,37353,CHI,CHI,play,8,english,all,1
20132,37353,MOT,ADULTS,play,8,english,all,2
20132,37353,ADM,ADULTS,play,8,english,all,2
20136,35618,CHI,CHI,play,11,english,all,1
20136,35618,MOT,ADULTS,play,11,english,all,2
20136,35618,GMA,ADULTS,play,11,english,all,2
20136,3287,CHI,CHI,play,14,english,all,1
20136,3287,MOT,ADULTS,play,14,english,all,1
20136,36818,CHI,CHI,play,16,english,all,1
20136,36818,MOT,ADULTS,play,16,english,all,1
20136,29940,CHI,CHI,play,3,english,all,1
20136,29940,MOT,ADULTS,play,3,english,all,2
20136,29940,GMA,ADULTS,play,3,english,all,2
20136,27540,CHI,CHI,play,4,english,all,1
20136,27540,MOT,ADULTS,play,4,english,all,2
20136,27540,GMA,ADULTS,play,4,english,all,2
20136,40417,CHI,CHI,play,5,english,all,1
20136,40417,MOT,ADULTS,play,5,english,all,1
20149,23973,CHI,CHI,play,1,english,all,1
20149,23973,MOT,ADULTS,play,1,english,all,3
20149,23973,GMA,ADULTS,play,1,english,all,3
20149,23973,ADF,ADULTS,play,1,english,all,3
20149,23373,CHI,CHI,play,2,english,all,1
20149,23373,MOT,ADULTS,play,2,english,all,3
20149,23373,GMA,ADULTS,play,2,english,all,3
20149,23373,ADF,ADULTS,play,2,english,all,3
20149,24873,CHI,CHI,play,3,english,all,1
